ID,Model,Date Aquired,VIN or Serial,License,Assigned Location,Vehicle,Tag,Service Info
OE60,FiltrexxErosionMaster FX8 with Cone,3/16/2010,FX85305,N/A,div 1,Photos/Library/OE60-P.jpg,Photos/Library/OE60-T.jpg,N/A
OE61,FiltrexxFX StationaryKitDoubleChipper,*,*,*,div 1,Photos/Library/OE61-P.jpg,Photos/Library/OE61-T.jpg,N/A
OE65,Ditchwitch SK 500,*,*,N/A,div 1,Photos/Library/OE65-P.jpg,Photos/Library/OE65-T.jpg,N/A
OE86,Log Splitter Timber Wolf,??/2002,TW51045884,N/A,div 1,Photos/Library/OE86-P.jpg,Photos/Library/OE86-T.jpg,N/A
TR2,Kubota Tractor w/ Loader,*,4/13/2001,N/A,div 1,Photos/Library/TR2-P.jpg,Photos/Library/TR2-T.jpg,N/A
TRL56,Trailer KaufmanFDWT-7K-22' TiltD Model,1/26/2007,15XFD22227L001399,51633TL,div 1,Photos/Library/TRL56-P.jpg,Photos/Library/TRL56-T.jpg,N/A
TRL219,Trailer WellsCargo (2003),10/11/2013,1WC200F2331103135,483983TL,div 1,Photos/Library/TRL219-P.jpg,Photos/Library/TRL219-T.jpg,N/A
TRL222,Trailer Kaufman (BLACK),*,5VGFP2322DL003583,457599TL,div 1,Photos/Library/TRL222-P.jpg,Photos/Library/TRL222-T.jpg,N/A
TRL 223,Trailer Holmes 5x10 (Single Axle),5/1/2007,5LVBV10197A013413,71436TL,div 1,Photos/Library/TRL 223-P.jpg,Photos/Library/TRL 223-T.jpg,N/A
T24,Dump truck 4700 International (1996),4/30/2003,1HTSCAAMXTH323424,50005TA,div 1,Photos/Library/T24-P.jpg,Photos/Library/T24-T.jpg,N/A
T27,Dump truck 4300 International (2004),4/22/2003,1HTMMAAN14H611199,22297TB,div 1,Photos/Library/T27-P.jpg,Photos/Library/T27-T.jpg,N/A
T28,Dump truck 4300 International (2004),4/22/2003,1HTMMAANX4H611198,45696TB,div 2,Photos/Library/T28-P.jpg,Photos/Library/T28-T.jpg,N/A
T29,Dump truck 4300 International (2004),4/22/2003,1HTMMAAN44H611200,50060TA,div 1,Photos/Library/T29-P.jpg,Photos/Library/T29-T.jpg,N/A
T30,Dump truck 4300 International (2005),6/30/2004,1HTMMAAN55H100127,45697TB,div 2,Photos/Library/T30-P.jpg,Photos/Library/T30-T.jpg,N/A
T31,Dump truck 4300 International (2005),6/30/2004,1HTMMAAN35H100126,99687TA,div 3,Photos/Library/T31-P.jpg,Photos/Library/T31-T.jpg,N/A
